;text
165;#jornaldacultura Definitivamente não sei votar,em 2018 só votei em maluco. Bolsonaro mentiroso, Joyce Haselman malu… https://t.co/1qfmyZuws7
166;No vídeo de hj estamos falando sobre a nova rede social do Trump e a participação em peso dos bolsonaristas. Já som… https://t.co/ZHaenZbF2R
167;#JairBolsonaro #ForaBolsonaro #DitaduraNuncaMais  #Somos70porcento #ImpeachmentBolsonaro  https://t.co/2ozEaHfkoJ
168;"""Não quero entrar nessa polêmica, está bastante esquisita a história dela (Joice Halssemann)"" (Jair Messias Bolsona… https://t.co/d7E8is51ra"
169;@marcodevargas Putz, não foi de Covid, pobre imprensa!? Certeza que não foi do vírus? Bolsonaro visitou ele?
170;@EAADIAS @galomemoria_ @Mineirao O série B, não apoio ninguém não e nem pedi sua opinião. A decisão é da PBH, que é… https://t.co/1dQsDI3wdp
171;FECHADA COM BOLSONARO 🇧🇷🇧🇷🇧🇷 https://t.co/BGwwmjrrNq
172;@opovoonline @jogopolitico ponto pro Ciro kkkkkk Kim apoiou Bolsonaro e há pouco tempo apoiava GENTILLI pra presidê… https://t.co/u01404rVas
173;Bolsonaro parte pra cima de Barroso - Lula é o seu candidato!!!!!!!!!!!!!!! https://t.co/KorDqTqzPn via @YouTube BA… https://t.co/zMRWB507uo
174;@folha SEM PROVAS, @folha diz q trilha sonora da ginasta Rebeca Andrade nas olimpíadas não é em homenagem ao PR… https://t.co/GCmp13PQqZ
175;@LulaOficial Tem um monte que atende esses requisitos: Temer, Jader Barbalho, Maluf, Aécio Neves, Bolsonaro, Paulin… https://t.co/Lnjuw53Odo
176;vamos fazer um bolão pra ver quando que o bolsonaro vai aparecer fazendo uma coisa que vai chocar até o povo dos outros países
177;@jbfulgencio21 @Ideias_Radicais no governo lula, eles recebiam e faziam tudo que o governo queria,eu sinceramente g… https://t.co/CWGxIoNep4
178;Esse é o BRASIL do BOLSONARO!!! ⚰️💰🤬 em Imbé https://t.co/Uq429t6os2
179;a @loopstarztt não me deixa dormir,Bolsonaro faça algo https://t.co/rRkgMKjQaZ
180;@hiddledy fazendo mais pelo brasil que o bolsonaro!!!!
181;O Bolsonaro está com fisionomia bem abatida. Com cara de vítima. #JornaldaCultura
